Date,Open,High,Low,Close,Adj Close,Volume
2021-12-23,10.850000,10.850000,10.805000,10.790000,10.790000,5856
2021-12-24,10.800000,10.800000,10.800000,10.800000,10.800000,0
2021-12-29,10.737500,10.737500,10.737500,10.737500,10.737500,0
2021-12-30,10.795000,10.870000,10.780000,10.805000,10.805000,2633
2021-12-31,10.810000,10.810000,10.810000,10.810000,10.810000,0
2022-01-04,11.000000,11.000000,10.722880,11.000000,11.000000,7193
2022-01-05,11.035000,11.035000,10.965000,10.975000,10.975000,5750
2022-01-06,10.880000,10.880000,10.780000,10.870000,10.870000,4478
2022-01-07,10.960000,10.960000,10.810000,10.827500,10.827500,5330
2022-01-10,11.200000,11.200000,11.200000,10.662500,10.662500,700
2022-01-11,10.740000,10.840830,10.740000,10.870000,10.870000,9036
2022-01-12,10.950000,10.950000,10.830000,10.872500,10.872500,4374
2022-01-13,10.810000,10.905000,10.810000,10.915000,10.915000,10634
2022-01-14,11.000000,11.000000,10.745000,10.785000,10.785000,1939
2022-01-17,10.762500,10.762500,10.762500,10.762500,10.762500,0
2022-01-18,10.756550,10.756550,10.756550,10.895000,10.895000,53
2022-01-19,10.985000,10.985000,10.985000,10.985000,10.985000,0
2022-01-20,11.145000,11.155000,11.125000,11.150000,11.150000,19900
2022-01-21,11.225000,11.225000,11.165000,11.172500,11.172500,19126
2022-01-24,11.065000,11.065000,11.015000,11.010000,11.010000,14730
2022-01-25,11.010000,11.109860,10.926270,10.965000,10.965000,10880
2022-01-26,11.070000,11.075000,11.070000,11.060000,11.060000,4680
2022-01-27,11.205000,11.205000,11.205000,11.175000,11.175000,904
2022-01-28,11.175000,11.175000,11.095000,11.065000,11.065000,5512
2022-01-31,11.020000,11.020000,11.020000,11.015000,11.015000,20
2022-02-01,11.050000,11.056990,11.050000,11.025000,11.025000,5022
2022-02-02,11.065000,11.125000,11.010000,11.077500,11.077500,32549
2022-02-03,11.040000,11.040000,11.025000,11.040000,11.040000,19000
2022-02-04,11.085000,11.085000,11.085000,11.035000,11.035000,3500
2022-02-07,11.150000,11.150000,11.115000,11.082500,11.082500,9500
2022-02-08,11.110000,11.120000,10.985000,10.990000,10.990000,10383
2022-02-09,11.040000,11.140000,11.040000,11.145000,11.145000,6095
2022-02-10,11.375000,11.445000,11.375000,11.317500,11.317500,10100
2022-02-11,11.195000,11.215000,11.195000,11.062500,11.062500,9991
2022-02-14,11.075000,11.105000,10.920000,10.935000,10.935000,3689
2022-02-15,10.915000,11.270710,10.915000,10.957500,10.957500,2000
2022-02-16,11.015000,11.015000,10.950000,10.977500,10.977500,2361
2022-02-17,10.960000,11.065000,10.960000,11.052500,11.052500,40000
2022-02-18,11.145000,11.145000,10.930000,10.932500,10.932500,3705
2022-02-21,10.875000,10.875000,10.875000,10.885000,10.885000,5000
2022-02-22,10.900000,11.115000,10.900000,11.020000,11.020000,30350
2022-02-23,11.020000,11.020000,11.000000,10.922500,10.922500,273
2022-02-24,11.160000,11.200000,11.070000,11.122500,11.122500,11700
2022-02-25,11.065000,11.085000,11.060000,11.100000,11.100000,9884
2022-02-28,11.175000,11.345000,11.175000,11.207500,11.207500,13282
2022-03-01,11.360000,11.475000,11.071240,11.480000,11.480000,23136
2022-03-02,11.770000,11.975000,11.770000,11.877500,11.877500,83155
2022-03-03,12.270000,12.300000,12.020000,12.097500,12.097500,18967
2022-03-04,12.240000,12.445000,12.240000,12.487500,12.487500,18610
2022-03-07,12.865000,12.890000,12.595000,12.592500,12.592500,93104
2022-03-08,12.590000,12.965000,11.988340,12.757500,12.757500,81359
2022-03-09,12.650000,12.685000,11.985000,11.980000,11.980000,10102
2022-03-10,11.890000,12.120000,11.740000,11.782500,11.782500,15994
2022-03-11,11.745000,11.745000,11.700000,11.655000,11.655000,7597
2022-03-14,11.710000,11.710000,11.600000,11.602500,11.602500,23252
2022-03-15,11.505000,12.782830,11.400000,11.587500,11.587500,35070
2022-03-16,11.655000,11.725000,11.620000,11.670000,11.670000,10223
2022-03-17,11.840000,11.840000,11.525000,11.730000,11.730000,36246
2022-03-18,11.770000,11.800000,11.730000,11.730000,11.730000,19450
2022-03-21,11.920000,12.110000,11.920000,12.060000,12.060000,40489
2022-03-22,11.935000,12.110000,11.643830,11.942500,11.942500,20400
2022-03-23,12.050000,12.630000,12.050000,12.575000,12.575000,119569
2022-03-24,12.715000,12.720000,12.300000,12.437500,12.437500,41461
2022-03-25,12.415000,12.465000,12.400000,12.465000,12.465000,7489
2022-03-28,12.410000,12.515000,12.405000,12.490000,12.490000,32424
2022-03-29,12.500000,12.500000,12.177550,12.360000,12.360000,8833
2022-03-30,12.585000,12.695000,12.540000,12.740000,12.740000,10665
2022-03-31,12.730000,12.975000,12.710000,12.805000,12.805000,87945
2022-04-01,12.850000,13.305000,12.850000,13.322500,13.322500,63248
2022-04-04,13.445000,13.630000,13.440000,13.395000,13.395000,35300
2022-04-05,13.300000,13.300000,12.602460,13.202500,13.202500,44772
2022-04-06,13.105000,13.225000,13.105000,13.085000,13.085000,46200
2022-04-07,12.990000,12.990000,12.850000,12.772500,12.772500,6559
2022-04-08,12.995000,13.055000,12.995000,13.035000,13.035000,5015
2022-04-11,13.035000,13.260000,13.035000,13.132500,13.132500,37673
2022-04-12,13.105000,13.315000,13.100000,13.437500,13.437500,4583
2022-04-13,13.700000,13.760000,13.585000,13.680000,13.680000,18906
2022-04-14,13.935000,13.935000,13.500000,13.545000,13.545000,9957
2022-04-19,13.550000,13.800000,13.342910,13.785000,13.785000,5826
2022-04-20,13.820000,13.820000,13.525000,13.507500,13.507500,2375
2022-04-21,13.550000,13.550000,13.530000,13.640000,13.640000,286
2022-04-22,13.550000,13.660000,13.515000,13.537500,13.537500,52061
2022-04-25,13.225000,13.270000,12.720000,12.790000,12.790000,66038
2022-04-26,12.895000,13.807020,12.780000,12.895000,12.895000,132300
2022-04-27,12.940000,13.085000,12.940000,12.935000,12.935000,20826
2022-04-28,13.030000,13.030000,12.685000,12.677500,12.677500,12118
2022-04-29,12.775000,12.775000,12.520000,12.502500,12.502500,53501
2022-05-03,12.245000,13.250460,11.990000,12.025000,12.025000,116806
2022-05-04,12.005000,12.020000,12.005000,12.112500,12.112500,7785
2022-05-05,12.320000,12.320000,12.125000,11.925000,11.925000,34104
2022-05-06,11.865000,11.865000,11.485000,11.577500,11.577500,49931
2022-05-09,11.525000,11.525000,11.135000,11.035000,11.035000,21230
2022-05-10,11.260000,12.020530,10.995000,10.997500,10.997500,44262
2022-05-11,11.170000,11.210000,11.170000,11.277500,11.277500,85107
2022-05-12,10.880000,10.880000,10.840000,10.850000,10.850000,1826
2022-05-13,10.850000,10.850000,10.665000,10.722500,10.722500,3000
2022-05-16,10.950000,11.035000,10.950000,11.002500,11.002500,1662
2022-05-17,11.085000,11.290000,10.883250,11.280000,11.280000,5559
2022-05-18,11.160000,11.160000,11.080000,11.062500,11.062500,15207
2022-05-19,11.315000,11.415000,11.295000,11.390000,11.390000,27773
2022-05-20,11.545000,11.545000,11.480000,11.392500,11.392500,10944
2022-05-23,11.655000,11.655000,11.600000,11.622500,11.622500,6495
2022-05-24,11.570000,11.570000,11.110140,11.605000,11.605000,17211
2022-05-25,11.455000,11.530000,11.455000,11.530000,11.530000,15652
2022-05-26,11.485000,11.495000,11.465000,11.490000,11.490000,14400
2022-05-27,11.670000,11.860000,11.670000,11.845000,11.845000,17000
2022-05-30,12.145000,12.145000,11.940000,11.915000,11.915000,10843
2022-05-31,12.085000,12.105000,11.596170,11.975000,11.975000,61531
2022-06-01,11.925000,11.925000,11.925000,11.865000,11.865000,8710
2022-06-06,11.940000,11.940000,11.815000,11.870000,11.870000,2150
2022-06-07,11.630000,12.082350,11.550000,11.627500,11.627500,12474
2022-06-08,11.717500,11.717500,11.717500,11.717500,11.717500,0
2022-06-09,11.665000,11.665000,11.505000,11.527500,11.527500,9855
2022-06-10,11.325000,11.325000,11.325000,11.325000,11.325000,0
2022-06-13,11.000000,11.125000,10.970000,11.077500,11.077500,2381
2022-06-14,11.125000,11.936630,11.080000,11.032500,11.032500,3679
2022-06-15,11.155000,11.155000,11.155000,11.192500,11.192500,69
2022-06-16,11.310000,11.310000,11.030000,10.987500,10.987500,8676
2022-06-17,11.050000,11.050000,10.885000,10.792500,10.792500,18469
2022-06-20,10.860000,10.860000,10.700000,10.825000,10.825000,2204
2022-06-21,11.115000,11.135000,10.969170,10.980000,10.980000,50360
2022-06-22,10.890000,11.025000,10.770000,10.862500,10.862500,71456
2022-06-23,10.900000,10.905000,10.625000,10.690000,10.690000,151044
2022-06-24,10.485000,10.525000,10.280000,10.362500,10.362500,132770
2022-06-27,10.235000,10.235000,10.235000,10.250000,10.250000,1000
2022-06-28,10.380000,10.753760,10.380000,10.265000,10.265000,812
2022-06-29,10.275000,10.275000,10.275000,10.312500,10.312500,40
2022-06-30,10.110000,10.110000,9.782500,9.695000,9.695000,81302
2022-07-01,9.372500,9.372500,9.357500,9.346250,9.346250,5930
2022-07-04,9.551250,9.551250,9.551250,9.551250,9.551250,0
