Open,Close,High,Low,Volume,Date
0,2451.05,2476.15,2443.89,526.00,06/16/21
0,2465.15,2476.95,2442.85,1,238.00,06/15/21
0,2494,2494.2,2472,1,321.00,06/14/21
0,2460,2502,2460,457.00,06/11/21
0,2460.29,2476,2439.13,747.00,06/10/21
0,2458.65,2458.7,2442.17,796.00,06/09/21
0,2431.45,2443.4,2415,358.00,06/08/21
0,2425.85,2439.17,2418.35,547.00,06/07/21
0,2442.15,2455.2,2395.85,688.00,06/04/21
0,2408.59,2449.75,2400.67,724.00,06/03/21
0,2439.05,2480.75,2439.05,731.00,06/02/21
0,2503,2503,2468.85,1,303.00,06/01/21
0,2483,2489.75,2433.85,789.00,05/28/21
0,2480.8,2481.2,2420.85,1,310.00,05/27/21
0,2404.15,2404.15,2370.85,1,357.00,05/26/21
0,2367.13,2381.6,2351.75,1,293.00,05/25/21
0,2387,2396.14,2315,954.00,05/24/21
0,2382,2434.15,2361.15,826.00,05/21/21
0,2357.65,2437.45,2357.65,559.00,05/20/21
0,2426.56,2476.25,2407.98,842.00,05/19/21
0,2484.75,2513.25,2466.25,1,176.00,05/18/21
0,2504.35,2504.35,2460.57,1,078.00,05/17/21
0,2454.9,2465.75,2408.75,720.00,05/14/21
0,2451.7,2507.75,2428.65,745.00,05/13/21
0,2492.65,2539.25,2480.65,825.00,05/12/21
0,2527.72,2564.85,2520.85,754.00,05/11/21
0,2525.59,2598.62,2520.75,1,165.00,05/10/21
0,2540.48,2547.85,2508.25,685.00,05/07/21
0,2488.33,2491,2441.25,680.00,05/06/21
0,2444.7,2444.7,2434.03,968.00,05/05/21
0,2428.75,2438.85,2427.5,1,323.00,05/04/21
0,2418.65,2438.15,2397,1,314.00,04/30/21
0,2416.8,2429.5,2407.75,1,130.00,04/29/21
0,2399.5,2399.5,2396.04,595.00,04/28/21
0,2395.85,2410.12,2386.35,1,534.00,04/27/21
0,2403.5,2403.5,2393.35,685.00,04/26/21
0,2382.34,2385.25,2364.3,1,269.00,04/23/21
0,2363,2373.32,2355.25,845.00,04/22/21
0,2364.5,2364.5,2315.75,888.00,04/21/21
0,2326.4,2330.15,2308.5,998.00,04/20/21
0,2341.32,2343,2311.85,805.00,04/19/21
0,2318.25,2330.13,2314.85,638.00,04/16/21
0,2340.03,2356.85,2333.33,732.00,04/15/21
0,2323.7,2323.7,2300,699.00,04/14/21
0,2293,2293.15,2273.88,786.00,04/13/21
0,2251.68,2270.25,2244.75,1,128.00,04/12/21
0,2263.8,2278.25,2263.8,766.00,04/09/21
0,2279.13,2284,2258.75,726.00,04/08/21
0,2267.85,2270,2258.98,546.00,04/06/21
0,2225.65,2236.35,2220.95,512.00,04/01/21
0,2213.44,2235,2211.8,1,048.00,03/31/21
0,2231,2261.81,2230.8,710.00,03/30/21
