Date,Close/Last,Volume,Open,High,Low
09/24/2021,2975.50,N/A,2975.50,2975.50,2975.50
09/23/2021,3005.00,2,3012.00,3012.00,3012.00
09/22/2021,2993.50,N/A,2993.50,2993.50,2993.50
09/21/2021,2901.00,4,2907.25,2907.25,2907.25
09/20/2021,2914.00,N/A,2914.00,2914.00,2914.00
09/17/2021,2924.75,N/A,2924.75,2924.75,2924.75
09/16/2021,2914.25,N/A,2914.25,2914.25,2914.25
09/15/2021,2924.50,N/A,2924.50,2924.50,2924.50
09/14/2021,2862.75,3,2905.50,2906.25,2881.25
09/13/2021,2925.75,N/A,2925.75,2925.75,2925.75
09/10/2021,2944.25,19,2942.00,2944.75,2942.00
09/09/2021,2777.50,N/A,2777.50,2777.50,2777.50
09/08/2021,2777.50,N/A,2777.50,2777.50,2777.50
09/07/2021,2781.25,13,2777.50,2777.50,2777.50
09/03/2021,2746.75,1,2746.75,2746.75,2746.75
09/02/2021,2715.75,N/A,2715.75,2715.75,2715.75
09/01/2021,2710.00,N/A,2710.00,2710.00,2710.00
08/31/2021,2736.00,7,2710.00,2710.00,2710.00
08/30/2021,2664.25,N/A,2664.25,2664.25,2664.25
08/27/2021,2630.75,N/A,2630.75,2630.75,2630.75
08/26/2021,2630.75,N/A,2630.75,2630.75,2630.75
08/25/2021,2630.75,N/A,2630.75,2630.75,2630.75
08/24/2021,2630.75,6,2630.75,2630.75,2630.75
08/23/2021,2664.50,1,2611.00,2611.00,2611.00
08/20/2021,2563.50,N/A,2563.50,2563.50,2563.50
08/19/2021,2563.50,N/A,2563.50,2563.50,2563.50
08/18/2021,2567.50,37,2590.00,2590.00,2568.25
08/17/2021,2616.25,7,2636.00,2643.00,2636.00
08/16/2021,2618.50,71,2636.50,2636.50,2609.50
08/13/2021,2620.00,1734,2598.00,2634.50,2598.00
08/12/2021,2595.50,1743,2619.00,2628.75,2591.00
08/11/2021,2609.75,1617,2610.00,2613.00,2598.00
08/10/2021,2598.75,2150,2590.25,2612.00,2585.25
08/09/2021,2572.75,535,2593.00,2593.00,2562.50
08/06/2021,2603.25,2380,2617.50,2641.00,2602.25
08/05/2021,2612.25,2338,2597.75,2617.25,2597.25
08/04/2021,2591.25,1998,2620.50,2621.50,2587.00
08/03/2021,2609.75,2415,2629.75,2636.75,2606.75
08/02/2021,2649.00,1886,2647.50,2664.75,2642.50
07/30/2021,2626.25,92,2629.50,2663.25,2619.00
07/29/2021,2622.75,134,2568.50,2629.25,2568.50
07/28/2021,2561.75,101,2512.75,2575.25,2512.75
07/27/2021,2520.00,196,2526.75,2534.75,2513.00
07/26/2021,2546.75,343,2533.75,2553.25,2520.00
07/23/2021,2536.00,67,2521.25,2538.00,2521.00
07/22/2021,2513.50,196,2491.50,2519.50,2488.25
07/21/2021,2482.50,35,2482.50,2482.50,2482.50
07/20/2021,2513.25,40,2479.00,2483.50,2479.00
07/19/2021,2440.00,24,2444.00,2444.25,2440.00
07/16/2021,2532.25,N/A,2532.25,2532.25,2532.25
07/15/2021,2532.25,36,2532.25,2532.25,2532.25
07/14/2021,2439.00,1829,2545.00,2555.25,2536.25
07/13/2021,2560.50,1021,2533.25,2567.75,2503.50
07/12/2021,2512.50,864,2511.75,2526.00,2503.00
07/09/2021,2523.00,299,2485.75,2532.25,2483.50
07/08/2021,2468.25,399,2498.50,2499.75,2459.00
07/07/2021,2525.25,850,2539.25,2559.50,2510.00
07/06/2021,2557.25,555,2595.50,2595.50,2531.00
07/02/2021,2587.00,421,2543.00,2588.25,2543.00
07/01/2021,2536.00,839,2532.50,2537.75,2519.50
06/30/2021,2550.00,128,2579.25,2579.25,2533.75
06/29/2021,2570.25,262,2558.50,2575.00,2558.50
06/28/2021,2515.25,91,2503.75,2531.50,2499.00
06/25/2021,2502.00,N/A,2502.00,2502.00,2502.00
06/24/2021,2454.00,N/A,2454.00,2454.00,2454.00
06/23/2021,2447.25,N/A,2447.25,2447.25,2447.25
06/22/2021,2439.25,N/A,2439.25,2439.25,2439.25
06/21/2021,2420.50,N/A,2420.50,2420.50,2420.50
06/18/2021,2401.75,N/A,2401.75,2401.75,2401.75
06/17/2021,2420.00,N/A,2420.00,2420.00,2420.00
06/16/2021,2488.25,N/A,2488.25,2488.25,2488.25
06/15/2021,2479.75,N/A,2479.75,2479.75,2479.75
06/14/2021,2518.00,N/A,2518.00,2518.00,2518.00
06/11/2021,2488.75,N/A,2488.75,2488.75,2488.75
06/10/2021,2500.75,N/A,2500.75,2500.75,2500.75
06/09/2021,2475.25,N/A,2475.25,2475.25,2475.25
06/08/2021,2470.75,N/A,2470.75,2470.75,2470.75
06/07/2021,2478.25,N/A,2478.25,2478.25,2478.25
06/04/2021,2478.25,N/A,2478.25,2478.25,2478.25
06/03/2021,2427.75,N/A,2427.75,2427.75,2427.75
06/02/2021,2465.25,N/A,2465.25,2465.25,2465.25
06/01/2021,2493.00,N/A,2493.00,2493.00,2493.00
05/28/2021,2393.50,N/A,2393.50,2393.50,2393.50
05/27/2021,2393.50,N/A,2393.50,2393.50,2393.50
05/26/2021,2393.50,N/A,2393.50,2393.50,2393.50
05/25/2021,2393.50,N/A,2393.50,2393.50,2393.50
05/24/2021,2393.50,N/A,2393.50,2393.50,2393.50
05/21/2021,2393.50,N/A,2393.50,2393.50,2393.50
05/20/2021,2519.50,9,2404.00,2404.00,2404.00
05/19/2021,2434.00,6,2434.00,2434.00,2434.00
05/18/2021,2460.25,N/A,2460.25,2460.25,2460.25
05/17/2021,2460.25,N/A,2460.25,2460.25,2460.25
05/14/2021,2480.75,N/A,2480.75,2480.75,2480.75
05/13/2021,2439.75,10,2460.25,2460.25,2460.25
05/12/2021,2518.75,37,2567.50,2567.50,2567.50
05/11/2021,2553.75,N/A,2553.75,2553.75,2553.75
05/10/2021,2553.75,N/A,2553.75,2553.75,2553.75
05/07/2021,2548.00,2,2553.75,2553.75,2553.75
